model,source_cell,donor_cell,contrast_file,layer,hook,token_position,control,n_train,n_test,vector_l2_norm,alpha,mean_delta_gold_logit,median_delta_gold_logit,std_delta_gold_logit,mean_delta_gold_rank,median_delta_gold_rank,std_delta_gold_rank,baseline_top1_rate,steered_top1_rate,top1_improvement,n_rows,random_control_mean_delta_gold_logit,random_control_std_delta_gold_logit,random_control_mean_top1_improvement,random_control_std_top1_improvement,best_alpha_by_delta_logit,best_alpha_by_top1_improvement
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,8,resid_post,final_prompt_token,early_layer,72,32,38.787147521972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.09375,0.0,32,,,,,0.0,0.25
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,8,resid_post,final_prompt_token,early_layer,72,32,38.787147521972656,0.25,-0.097900390625,-0.04296875,0.18507324804898762,-1.21875,0.0,6.086534189298537,0.09375,0.125,0.03125,32,,,,,0.0,0.25
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,8,resid_post,final_prompt_token,early_layer,72,32,38.787147521972656,0.5,-0.254150390625,-0.17578125,0.3415120709353829,-5.28125,0.0,17.403725131060305,0.09375,0.0625,-0.03125,32,,,,,0.0,0.25
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,8,resid_post,final_prompt_token,early_layer,72,32,38.787147521972656,0.75,-0.429443359375,-0.3515625,0.4463627126343733,-11.0,0.0,34.43381332353418,0.09375,0.0625,-0.03125,32,,,,,0.0,0.25
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,8,resid_post,final_prompt_token,early_layer,72,32,38.787147521972656,1.0,-0.566650390625,-0.4140625,0.522584077102861,-15.8125,-0.5,48.85401563587173,0.09375,0.0625,-0.03125,32,,,,,0.0,0.25
