model,source_cell,donor_cell,contrast_file,layer,hook,token_position,control,n_train,n_test,vector_l2_norm,alpha,mean_delta_gold_logit,median_delta_gold_logit,mean_delta_gold_rank,baseline_top1_rate,steered_top1_rate,top1_improvement,best_alpha_by_delta_logit,best_alpha_by_top1_improvement,std_delta_gold_logit,median_delta_gold_rank,std_delta_gold_rank,n_rows,random_control_mean_delta_gold_logit,random_control_std_delta_gold_logit,random_control_mean_top1_improvement,random_control_std_top1_improvement
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,random,72,32,94.50843048095703,0.0,0.0,0.0,0.0,0.09375,0.09375,0.0,0.0,1.0,0.0,0.0,0.0,96,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,random,72,32,94.50843048095703,0.25,-0.01171875,0.015625,-0.28125,0.09375,0.14583333333333334,0.05208333333333334,0.0,1.0,0.14218517483217893,0.0,6.579170295016944,96,-0.01171875,0.029821821481570813,0.052083333333333336,0.01473139127471974
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,random,72,32,94.50843048095703,0.5,-0.06640625,-0.03125,-1.53125,0.09375,0.15625,0.0625,0.0,1.0,0.29285588103586324,0.0,14.308325901522046,96,-0.06640625,0.051062562778267775,0.0625,0.02551551815399144
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,random,72,32,94.50843048095703,0.75,-0.16097005208333334,-0.1015625,-3.6770833333333335,0.09375,0.16666666666666666,0.07291666666666666,0.0,1.0,0.4487266314368631,0.0,24.25150115270645,96,-0.16097005208333334,0.06713063201545662,0.07291666666666667,0.03897559777889522
Qwen/Qwen2.5-3B,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,random,72,32,94.50843048095703,1.0,-0.296875,-0.1875,-7.885416666666667,0.09375,0.17708333333333334,0.08333333333333334,0.0,1.0,0.6078927033764753,0.0,43.47314060420589,96,-0.296875,0.0781074504214568,0.08333333333333333,0.05311478659992484
