model,diagnostic,source_cell,donor_cell,contrast_file,layer,hook,token_position,n_train,n_test,alpha,mean_vector_l2_norm,mean_delta_gold_logit,median_delta_gold_logit,std_delta_gold_logit,mean_delta_gold_rank,median_delta_gold_rank,std_delta_gold_rank,baseline_top1_rate,steered_top1_rate,top1_improvement,n_rows,best_alpha_by_delta_logit_for_layer,best_alpha_by_top1_for_layer
Qwen/Qwen2.5-3B,oracle,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,0.25,166.2825117111206,1.5673828125,1.46875,0.6356596768652865,8.40625,2.0,29.844240833660017,0.09375,0.375,0.28125,32,1.0,1.0
Qwen/Qwen2.5-3B,oracle,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,0.5,166.2825117111206,3.111328125,2.90625,1.1717219952198692,9.71875,3.0,30.991162424754254,0.09375,0.6875,0.59375,32,1.0,1.0
Qwen/Qwen2.5-3B,oracle,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,0.75,166.2825117111206,4.609375,4.3984375,1.6255339698867752,10.25,3.0,31.91590512581462,0.09375,0.8125,0.71875,32,1.0,1.0
Qwen/Qwen2.5-3B,oracle,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,1.0,166.2825117111206,6.02685546875,5.8515625,2.030026991998278,10.46875,3.0,32.12474160888302,0.09375,0.90625,0.8125,32,1.0,1.0
